1,Reed,United States,Female,12
2,Bradley,United States,Female,43
3,Adams,United States,Male,23
4,Lane,United States,Male,52
5,Marshall,United States,Female,32
6,Garza,United States,Male,54
7,Gutierrez,United States,Male,43
8,Fox,Germany,Female,72
9,Medina,United States,Male,51
10,Nichols,United States,Male,75
11,Woods,United States,Male,86
12,Welch,United States,Female,34
13,Burke,United States,Female,15
14,Russell,United States,Female,62
15,Burton,United States,Male,54
16,Johnson,United States,Female,42
17,Flores,United States,Male,73
18,Boyd,United States,Male,54
19,Evans,Germany,Male,18
20,Stephens,United States,Male,19
